country,id,monetary,units,date,New_id,Last_Purchase_date
IN,2111100,2560.62,7,3/30/2020,IN2111100,11/30/2020
IN,2111100,365.82,1,4/6/2020,IN2111100,11/30/2020
IN,2111100,5764.44,10,3/9/2020,IN2111100,11/30/2020
IN,2111100,6340.92,11,3/16/2020,IN2111100,11/30/2020
IN,2111100,8646.66,15,3/23/2020,IN2111100,11/30/2020
IN,2111100,19599.12,34,3/30/2020,IN2111100,11/30/2020
IN,2111100,1152.9,2,4/6/2020,IN2111100,11/30/2020
IN,2111100,3140.28,2,3/9/2020,IN2111100,11/30/2020
IN,2111100,12527.58,13,3/9/2020,IN2111100,11/30/2020
IN,2111100,40473.72,42,3/16/2020,IN2111100,11/30/2020
IN,2111100,344464.8,357,3/23/2020,IN2111100,11/30/2020
IN,2111100,90546.9,93,3/30/2020,IN2111100,11/30/2020
IN,2111100,18498.84,19,4/6/2020,IN2111100,11/30/2020
