country,id,monetary,units,date,New_id,Last_Purchase_date
IN,3865038,9725.7,8,3/16/2020,IN3865038,11/16/2020
IN,3865326,292.2,1,3/30/2020,IN3865326,11/23/2020
IN,3871188,3664.08,3,3/23/2020,IN3871188,10/12/2020
IN,3874404,7804.08,8,3/16/2020,IN3874404,11/16/2020
IN,3874404,3664.08,3,3/23/2020,IN3874404,11/16/2020
IN,3874404,1221.36,1,3/30/2020,IN3874404,11/16/2020
IN,3876390,978.18,1,3/30/2020,IN3876390,4/13/2020
IN,3877686,1221.36,1,3/16/2020,IN3877686,11/2/2020
IN,3877686,1221.36,1,3/30/2020,IN3877686,11/2/2020
IN,3879360,975.48,1,3/9/2020,IN3879360,11/30/2020
IN,3879360,975.48,1,3/23/2020,IN3879360,11/30/2020
IN,3879912,369.6,1,3/16/2020,IN3879912,11/9/2020
IN,3879912,292.2,1,3/23/2020,IN3879912,11/9/2020
IN,3882030,975.48,1,3/9/2020,IN3882030,4/6/2020
IN,3882030,2957.04,3,3/30/2020,IN3882030,4/6/2020
IN,3882030,985.68,1,4/6/2020,IN3882030,4/6/2020
IN,3884328,2442.84,2,3/23/2020,IN3884328,7/13/2020
IN,3884754,582.96,1,3/16/2020,IN3884754,3/16/2020
IN,3885348,969.66,1,4/6/2020,IN3885348,11/9/2020
IN,3885396,38468.28,40,3/23/2020,IN3885396,3/23/2020
IN,3885846,1941.24,2,3/16/2020,IN3885846,11/30/2020
IN,3893742,985.68,1,3/30/2020,IN3893742,3/30/2020
IN,3895338,975.48,1,3/16/2020,IN3895338,11/9/2020
IN,3895338,2926.5,3,3/23/2020,IN3895338,11/9/2020
IN,3896184,4885.44,4,3/16/2020,IN3896184,11/23/2020
IN,3896184,10992.42,9,3/23/2020,IN3896184,11/23/2020
IN,3911610,968.22,1,3/9/2020,IN3911610,11/23/2020
IN,3919098,1221.36,1,3/30/2020,IN3919098,11/9/2020
IN,3919260,975.48,1,3/9/2020,IN3919260,3/9/2020
IN,3920220,4852.98,5,3/9/2020,IN3920220,11/23/2020
IN,3920220,970.62,1,3/16/2020,IN3920220,11/23/2020
IN,3920220,1215.78,1,3/16/2020,IN3920220,11/23/2020
IN,3920394,1221.36,1,3/23/2020,IN3920394,11/16/2020
IN,3926118,1971.36,2,3/30/2020,IN3926118,11/23/2020
IN,3926118,8549.46,7,3/9/2020,IN3926118,11/23/2020
IN,3926118,1221.36,1,3/16/2020,IN3926118,11/23/2020
IN,3926118,7328.1,6,3/23/2020,IN3926118,11/23/2020
IN,3926118,9770.82,8,3/30/2020,IN3926118,11/23/2020
IN,3927648,9794.46,5,3/30/2020,IN3927648,7/6/2020
IN,3930738,368.04,1,3/23/2020,IN3930738,11/30/2020
IN,3930738,290.76,1,3/16/2020,IN3930738,11/30/2020
IN,3930744,12130.08,10,3/9/2020,IN3930744,11/30/2020
IN,3930744,20621.1,17,3/23/2020,IN3930744,11/30/2020
IN,3930744,1213.02,1,3/30/2020,IN3930744,11/30/2020
IN,3930744,2426.04,2,4/6/2020,IN3930744,11/30/2020
IN,3931086,3942.66,4,4/6/2020,IN3931086,9/7/2020
IN,3933060,2442.84,2,3/9/2020,IN3933060,11/16/2020
IN,3944676,369.6,1,3/9/2020,IN3944676,3/9/2020
IN,3959976,4885.44,4,3/9/2020,IN3959976,11/16/2020
IN,3959976,3664.08,3,3/16/2020,IN3959976,11/16/2020
IN,3961020,2442.84,2,3/16/2020,IN3961020,8/24/2020
IN,3961020,1221.36,1,3/30/2020,IN3961020,8/24/2020
IN,3961260,964.44,1,3/16/2020,IN3961260,11/16/2020
